Draw_ID,Item_ID,Rate
80001,20001,0.0751
80002,20004,0.035
80003,20008,0.001
80004,20022,0.0751
80005,20025,0.035
80006,20029,0.001
80007,20043,0.0751
80008,20046,0.035
80009,20050,0.001
80010,20064,0.0751
80011,20067,0.035
80012,20071,0.001
80013,30001,0.0751
80014,30004,0.035
80015,30008,0.001
80016,30022,0.0751
80017,30025,0.035
80018,30029,0.001
80019,30043,0.0751
80020,30046,0.035
80021,30050,0.001
80022,30064,0.0751
80023,30067,0.035
80024,30071,0.001
80025,30085,0.0751
80026,30088,0.035
80027,30092,0.001
