ID,Region,Index
210000,Villiage,¿Ã∑Œ
210101,Chapter1,Ω£¿« ∏∂¿ª\nStage1
210102,Chapter1,Ω£¿« ∏∂¿ª\nStage2
210103,Chapter1,Ω£¿« ∏∂¿ª\nStage3
210104,Chapter1,Ω£¿« ∏∂¿ª\nStage4
210105,Chapter1,Ω£¿« ∏∂¿ª\nStage5
210106,Chapter1,Ω£¿« ∏∂¿ª\nStage6
210107,Chapter1,Ω£¿« ∏∂¿ª\nStage7
210108,Chapter1,Ω£¿« ∏∂¿ª\nStage8
210109,Chapter1,Ω£¿« ∏∂¿ª\nStage9
210110,Chapter1,Ω£¿« ∏∂¿ª\nStage10
210111,Chapter1,Ω£¿« ∏∂¿ª\n∫∏Ω∫ √‚«ˆ!
210201,Chapter2,ªÁ∏∑¿« ∂•\nStage1
210202,Chapter2,ªÁ∏∑¿« ∂•\nStage2
210203,Chapter2,ªÁ∏∑¿« ∂•\nStage3
210204,Chapter2,ªÁ∏∑¿« ∂•\nStage4
210205,Chapter2,ªÁ∏∑¿« ∂•\nStage5
210206,Chapter2,ªÁ∏∑¿« ∂•\nStage6
210207,Chapter2,ªÁ∏∑¿« ∂•\nStage7
210208,Chapter2,ªÁ∏∑¿« ∂•\nStage8
210209,Chapter2,ªÁ∏∑¿« ∂•\nStage9
210210,Chapter2,ªÁ∏∑¿« ∂•\nStage10
210211,Chapter2,ªÁ∏∑¿« ∂•\n∫∏Ω∫ √‚«ˆ!
